name,latitude,longitude,count
ZAP - Carrefour jeunesse-emploi de Sherbrooke,45.401717,-71.890506,1
ZAP - D12. La Société d'Histoire de Sherbrooke,45.40576,-71.894841,1
ZAP - Café Aragon,45.389631,-71.9135,1
ZAP - Pneus Shermont,45.409024,-71.857198,1
ZAP - Le cafe du Globe,45.387019,-71.930067,1
ZAP - Centre de Productique Intégrée Du Québec Inc,45.398842,-71.860832,1
ZAP - Resto Bar la Galoche,45.650063,-72.565556,1
ZAP - Club de Golf de Sherbrooke,45.414265,-71.927626,1
ZAP - F2. Bureau d'information touristique,45.398648,-71.899839,1
ZAP - Grace Christian Home,45.342177,-71.843569,1
ZAP - Restaurant MIKES,45.398872,-71.915882,1
ZAP - Clinique Dentaire Ayotte et Associés,45.400467,-71.893958,1
ZAP - Brunelle,45.131953,-71.813486,1
ZAP - SANC,45.39266,-71.893946,1
ZAP - Centre de Beauté Confidence,45.400057,-71.893666,1
ZAP - D5. Marché de la gare – extérieur  Aire de repos,45.397169,-71.896548,1
ZAP - Carrefour Accès Loisirs,45.392925,-71.887475,1
ZAP - Centre de formation Champlain,45.406848,-71.907749,1
ZAP - Cégep de Sherbrooke (17),45.409022,-71.883414,1
ZAP - Camping de la Fondation Roger Talbot,45.45852,-72.6497,1
ZAP - MysTea,45.401591,-71.890385,1
ZAP - B1. Centre multisport Roland-Dussault,45.413474,-71.882505,1
ZAP - Restaurant TWIST,45.375051,-71.981206,1
ZAP - Garage René Jacques inc.,45.383942,-71.96614,1
ZAP - Da Toni,45.398887,-71.897085,1
ZAP - Motel des cèdres,45.383942,-71.96614,1
ZAP - Resto Chez Dadou,45.748402,-71.006072,1
ZAP - Parc national du Mont-Orford 2,45.314782,-72.175158,1
ZAP - CSSS-IUGS - CLSC 1200 King Est - 2,45.408818,-71.853617,1
ZAP - Stade Julien-Morin,45.136866,-71.798859,1
ZAP - Piscine Municipale,45.134957,-71.799431,1
ZAP - Plage Lyster,45.022676,-71.910234,1
ZAP - Pavillon Laurence,45.134957,-71.799431,1
ZAP - Bar à pâtes Mia Pasta,45.398479,-71.920581,1
ZAP - CSSS-IUGS - Hôpital et centre d’hébergement Argyll,45.403716,-71.913298,1
ZAP - CSSS-IUGS - Hôpital et centre d’hébergement D’Youville,45.390691,-71.896039,1
ZAP - CSSS-IUGS -Centre d’hébergement St-Joseph,45.407297,-71.901624,1
"ZAP - CSSS-IUGS - CLSC 50, rue Camirand",45.398775,-71.894493,1
ZAP - Café Mazagan,45.395776,-71.894769,1
ZAP - Le four à bois d'Orford,45.306348,-72.16535,1
ZAP - Salon de Quilles Alpha,45.37749,-71.97687,1
"ZAP - CSSS-IUGS - Édifice 500, rue Murray",45.400888,-71.877476,1
ZAP - CSSS du Granit,45.589815,-70.905894,1
ZAP - CSSS-IUGS - Centre d’hébergement St-Vincent,45.406729,-71.882289,1
ZAP - Antidote Food Lab ,45.399144,-71.897249,1
ZAP - Friterie Laurier,45.631346,-72.935625,1
ZAP - Restaurant An Phu,45.408296,-71.864655,1
ZAP - Restaurant Louis King Ouest,45.398593,-71.920532,1
ZAP - CIK Audio Video,45.39861,-71.922188,1
ZAP - Mikes King Est,45.407999,-71.873001,1
ZAP - La Maison Aube-Lumière,45.445095,-71.865692,1
ZAP - Pavillon des arts et de la culture de Coaticook,45.134131,-71.803901,1
