,,
Immeubles et établissements d'entreprises du gouvernement,,
   Taxes sur la valeur foncière,1,1 314 700 
   Taxes sur une autre base,,
"      Taxes, compensations et tarification",2,
      Taxes d'affaires,3,
   Compensations pour les terres publiques,4,
,5, 1 314 700 
Immeubles des réseaux,,
   Santé et services sociaux,6, 5 026 450 
   Cégeps et universités,7, 7 064 200 
   Écoles primaires et secondaires,8, 3 130 750 
,9, 15 221 400 
Autres immeubles,,
   Immeubles de certains gouvernements et d'organismes internationaux ,,
      Taxes sur la valeur foncière,10,
      Taxes sur une autre base,,
"         Taxes, compensations et tarification",11,
         Taxes d'affaires,12,
,13,
,14, 16 536 100 
GOUVERNEMENT DU CANADA ET SES ENTREPRISES,,
Taxes sur la valeur foncière,15, 494 400 
Taxes sur une autre base,16,
"   Taxes, compensations et tarification",17,
   Taxes d'affaires ,,
,18, 494 400 
ORGANISMES MUNICIPAUX,,
Taxes sur la valeur foncière,19,
Taxes sur une autre base,,
"   Taxes, compensations et tarification",20,
,21,
AUTRES,,
Taxes foncières des entreprises autoconsommatrices d'électricité,22,
Autres,23, 647 650 
,24, 647 650 
,25, 17 678 150 
