Acquisition d'immobilisations par catégories,,
Infrastructures,,
   Conduites d'eau potable,1,7105500
   Usines de traitement de l'eau potable,2,
   Usines et bassins d'épuration,3,1680000
   Conduites d'égout,4,7942500
   Sites d'enfouissement et incinérateurs,5,
"   Chemins, rues, routes et trottoirs",6,22856000
"   Ponts, tunnels et viaducs",7,75000
   Système d'éclairage des rues,8,
   Aires de stationnement,9,
   Parcs et terrains de jeux,10,2910000
   Autres infrastructures,11,4285000
Réseau d'électricité,12,18371000
Bâtiments,,
   Édifices administratifs,13,11916000
   Édifices communautaires et récréatifs,14,2868500
Améliorations locatives,15,
Véhicules,,
   Véhicules de transport en commun,16,
   Autres,17,4060000
Ameublement et équipement de bureau,18,2245000
"Machinerie, outillage et équipement divers",19,
Terrains,20,1100000
Autres,21,
Total,22,87414500
Acquisition de propriétés destinées à la revente,23,50000
"Émission ou acquisition de prêts, placements à long terme à titre d'investissement et participations dans des entreprises municipales",24,
,,
Police,25,175000
Sécurité incendie,26,4460000
Autres,27,250000
Total,28,4885000
